train_id,time_start,time_end,direction,speed,longitude,latitude
TR001,2024-10-20 08:34:00,2024-10-20 08:39:00,W,33,-73.740641,40.71459
TR003,2024-10-20 09:39:00,2024-10-20 09:45:00,W,47,-73.888647,40.713272
TR002,2024-10-20 09:58:00,2024-10-20 10:03:00,E,31,-73.791009,40.711931
TR004,2024-10-20 11:47:00,2024-10-20 11:52:00,E,34,-73.847586,40.71523
TR005,2024-10-20 12:16:00,2024-10-20 12:23:00,W,39,-73.597366,40.712321
TR006,2024-10-20 12:17:00,2024-10-20 12:22:00,E,37,-73.612248,40.712528
TR008,2024-10-20 15:07:00,2024-10-20 15:15:00,E,44,-73.905927,40.714251
TR007,2024-10-20 15:25:00,2024-10-20 15:32:00,W,37,-73.709907,40.711518
TR009,2024-10-20 16:59:00,2024-10-20 17:06:00,W,47,-73.945232,40.715435
TR010,2024-10-20 17:37:00,2024-10-20 17:45:00,E,30,-73.993878,40.713306
TR011,2024-10-20 18:05:00,2024-10-20 18:10:00,W,45,-73.873259,40.711292
TR012,2024-10-20 19:29:00,2024-10-20 19:35:00,E,35,-73.640794,40.711625
TR013,2024-10-21 07:50:00,2024-10-21 07:57:00,W,32,-73.830997,40.711595
TR014,2024-10-21 08:01:00,2024-10-21 08:06:00,E,40,-73.919565,40.715269
TR016,2024-10-21 10:12:00,2024-10-21 10:19:00,E,36,-73.91981,40.713394
TR015,2024-10-21 10:24:00,2024-10-21 10:29:00,W,36,-73.595414,40.715209
TR017,2024-10-21 11:18:00,2024-10-21 11:26:00,W,43,-74.02884,40.713651
TR018,2024-10-21 13:00:00,2024-10-21 13:08:00,E,32,-73.683992,40.714511
TR019,2024-10-21 14:03:00,2024-10-21 14:10:00,W,41,-73.966057,40.71198
TR021,2024-10-21 16:06:00,2024-10-21 16:13:00,W,39,-73.633703,40.71543
TR022,2024-10-21 16:34:00,2024-10-21 16:41:00,E,40,-73.888149,40.711304
TR020,2024-10-21 16:34:00,2024-10-21 16:41:00,E,45,-73.617152,40.712371
TR023,2024-10-22 07:29:00,2024-10-22 07:36:00,W,34,-73.674664,40.712386
TR025,2024-10-22 08:06:00,2024-10-22 08:14:00,W,45,-73.784519,40.713985
TR024,2024-10-22 08:16:00,2024-10-22 08:23:00,E,43,-73.875146,40.714282
TR026,2024-10-22 08:58:00,2024-10-22 09:04:00,E,41,-73.860928,40.713448
TR027,2024-10-22 10:04:00,2024-10-22 10:09:00,W,48,-73.994151,40.715559
TR028,2024-10-22 10:32:00,2024-10-22 10:38:00,E,38,-73.864494,40.713745
TR029,2024-10-22 12:48:00,2024-10-22 12:56:00,W,50,-73.683221,40.711227
TR030,2024-10-22 15:55:00,2024-10-22 16:01:00,E,47,-73.908125,40.715037
TR031,2024-10-23 07:41:00,2024-10-23 07:46:00,W,40,-73.992216,40.713445
TR033,2024-10-23 08:17:00,2024-10-23 08:24:00,W,36,-73.85197,40.712585
TR032,2024-10-23 08:51:00,2024-10-23 08:58:00,E,44,-73.955044,40.714429
TR034,2024-10-23 10:41:00,2024-10-23 10:47:00,E,40,-73.901919,40.712437
TR035,2024-10-23 11:39:00,2024-10-23 11:44:00,W,49,-73.932548,40.715084
TR037,2024-10-23 12:34:00,2024-10-23 12:40:00,W,41,-73.983714,40.713654
TR036,2024-10-23 12:47:00,2024-10-23 12:54:00,E,32,-73.907748,40.715153
TR038,2024-10-23 13:15:00,2024-10-23 13:21:00,E,45,-73.818824,40.713018
TR040,2024-10-23 15:04:00,2024-10-23 15:11:00,E,41,-73.626369,40.715201
TR039,2024-10-23 15:50:00,2024-10-23 15:57:00,W,37,-73.787527,40.712616
TR041,2024-10-23 17:54:00,2024-10-23 17:59:00,W,31,-73.686615,40.715247
TR042,2024-10-23 18:51:00,2024-10-23 18:56:00,E,37,-73.737066,40.7112
TR043,2024-10-24 08:15:00,2024-10-24 08:21:00,W,43,-73.962564,40.71282
TR044,2024-10-24 09:53:00,2024-10-24 10:01:00,E,44,-73.832349,40.714953
TR045,2024-10-24 11:16:00,2024-10-24 11:22:00,W,30,-73.772469,40.712583
TR046,2024-10-24 12:25:00,2024-10-24 12:30:00,E,37,-73.835297,40.712538
